1_Lr,1_Wd,1_batchSize,1_decoder,1_featType,1_hiddenDim,1_numLayers,1_numOfEpoch,1_numOfHeads,2_valLossNeg,2_valMRRRandom,2_valRocAucRandom,3_testMRR2hop,3_testMRRRandom,3_testRocAuc2hop,3_testRocAucRandom
0.0001,0.0001,8192,dot,1,64,2,50,2,-0.48589596152305603,0.9487719570962225,0.8663833519165245,0.7948994343710222,0.9644589434286726,0.5966809541066219,0.8713801440619497
0.0001,0.0001,8192,dot,1,128,2,50,2,-0.48468413949012756,0.9479575163398694,0.8608251723407844,0.80176031998921,0.9628518321826872,0.5926772548931339,0.8714166138719257
0.0001,0.0001,8192,dot,1,64,3,50,2,-0.7131324668725332,0.9119654783589211,0.8123516018397237,0.8047817998959793,0.9097107559932839,0.6002902724116563,0.8148823867401933
0.0001,0.0001,8192,dot,1,128,3,50,2,-0.4905397891998291,0.9571041214750544,0.8664346439550896,0.8238093189633285,0.970875376172774,0.6107671452365248,0.87646290138467
0.0001,0.0001,8192,dot,1,64,4,50,2,-0.8453704979684618,0.8401183297324007,0.7354911551136417,0.7544879233441368,0.8215928608404046,0.5753577168162859,0.7388925760146661
0.0001,0.0001,8192,dot,1,128,4,50,2,-0.5945158474975162,0.9579001557537875,0.8650524263759953,0.8338348419150332,0.9715068828026873,0.6224851784410645,0.870912600551392
0.0005,0.0001,8192,dot,1,64,2,50,2,-0.4503331184387207,0.9645029875067899,0.8790703371577376,0.8176535345813095,0.9741863288066156,0.6051313964915597,0.879726639360397
0.0005,0.0001,8192,dot,1,128,2,50,2,-0.5086516737937927,0.9533260830161318,0.8547895015696809,0.776988941606573,0.9551121563867183,0.5849527675895955,0.8613132810365283
0.0005,0.0001,8192,dot,1,64,3,50,2,-0.5419929027557373,0.9482265653275425,0.8486560919657172,0.8369490175252257,0.9715486938269733,0.6430004755792118,0.8605251829871384
0.0005,0.0001,8192,dot,1,128,3,50,2,-0.44617122411727905,0.9693507435618425,0.8859365075711857,0.8579769702180748,0.9800407151708267,0.6404179926755915,0.8912829469185461
0.0005,0.0001,8192,dot,1,64,4,50,2,-0.47520318627357483,0.9713326071169208,0.8842900617557805,0.863593008454931,0.9781819791113472,0.6397424459465871,0.8897045943665634
0.0005,0.0001,8192,dot,1,128,4,50,2,-0.4576088488101959,0.9703378995433789,0.8860247652647636,0.8649151978015492,0.9848203221809169,0.6298652141365655,0.8916026687988633
0.001,0.0001,8192,dot,1,64,2,50,2,-0.44394809007644653,0.9668129456939112,0.8829143543365809,0.8572870040209393,0.980399817919733,0.6284484042417489,0.8870066484272253
0.001,0.0001,8192,dot,1,128,2,50,2,-0.4525632858276367,0.9638934501003467,0.878056878280952,0.82844751283413,0.9719950433705081,0.6149719757900998,0.8806456063543457
0.001,0.0001,8192,dot,1,64,3,50,2,-0.505953848361969,0.9654884901214428,0.8670109420606595,0.8194505750931667,0.9753584705257567,0.6029851055201465,0.871185476327094
0.001,0.0001,8192,dot,1,128,3,50,2,-0.45374464988708496,0.9685538014879332,0.8826154669424011,0.849529204494685,0.9787130465569127,0.6281756985079204,0.889652704261801
0.001,0.0001,8192,dot,1,64,4,50,2,-0.4232509732246399,0.9761062749365252,0.8966212898286294,0.8853427492434396,0.9872986369268897,0.6479924503940021,0.9020362784826577
0.001,0.0001,8192,dot,1,128,4,50,2,-0.40793654322624207,0.9788604608963891,0.9018681936237221,0.883015957312293,0.9897326960523987,0.6509683514986151,0.9051775805549712
0.0001,0.0005,8192,dot,1,64,2,50,2,-0.5325483282407124,0.9522754360233857,0.8523445948972459,0.8070402358307297,0.9679216296183901,0.5992940927404179,0.8546476446241309
0.0001,0.0005,8192,dot,1,128,2,50,2,-0.4695209264755249,0.9654482633206038,0.8776828285925926,0.8071259978588708,0.9754115772703134,0.6065997469126675,0.8816716220445957
0.0001,0.0005,8192,dot,1,64,3,50,2,-0.5492269533967215,0.9600006590586583,0.8651982169668532,0.8241859563781271,0.9721602342477086,0.6159251860607162,0.869103610756653
0.0001,0.0005,8192,dot,1,128,3,50,2,-0.5424803716165049,0.9624444482764236,0.8664141024806505,0.8280143697297175,0.9735410397120434,0.6000242770499747,0.8676847361361606
0.0001,0.0005,8192,dot,1,64,4,50,2,-0.8532215732115286,0.8651426176916908,0.7551687927751388,0.7535891372057065,0.8507419042867795,0.5778244789360015,0.7567809579863195
0.0001,0.0005,8192,dot,1,128,4,50,2,-0.6065153082211812,0.9609116886788642,0.8665224429642693,0.8281594393981542,0.9750088511240927,0.6315757461927257,0.8672464059729479
0.0005,0.0005,8192,dot,1,64,2,50,2,-0.49943405389785767,0.9532988943266268,0.8616812545142591,0.8099809068608856,0.9763586475482386,0.5929135152730935,0.8754883240804996
0.0005,0.0005,8192,dot,1,128,2,50,2,-0.5343520641326904,0.9399670967407636,0.853536107278795,0.8406671218673343,0.9566130541435904,0.6261264134043819,0.8684427167294955
0.0005,0.0005,8192,dot,1,64,3,50,2,-0.49042677879333496,0.9652391343880705,0.8721713489625844,0.8288329582142646,0.9772703133297929,0.6048974925294434,0.8738571592846593
0.0005,0.0005,8192,dot,1,128,3,50,2,-0.6798278093338013,0.9258161044613711,0.8337650145695713,0.721677245867368,0.8742571377993577,0.5530082005729007,0.8053434890588225
0.0005,0.0005,8192,dot,1,64,4,50,2,-0.462979672131715,0.9728310733319839,0.8885810567665944,0.8664370886091545,0.981789303908263,0.6417490810380411,0.8962531601138536
0.0005,0.0005,8192,dot,1,128,4,50,2,-0.4460270322031445,0.9739933158611161,0.8914341713970653,0.8611534700621264,0.9844839794653921,0.6340702741459683,0.8944481418881414
0.001,0.0005,8192,dot,1,64,2,50,2,-0.493839830160141,0.9546663049376017,0.8594841442526793,0.7901354221986191,0.9679235262878386,0.5909901201384392,0.8707240500082044
0.001,0.0005,8192,dot,1,128,2,50,2,-0.43228793144226074,0.9749954783866883,0.8872191167021163,0.848182147704187,0.9816073641352452,0.6182416307051362,0.8908008134699658
0.001,0.0005,8192,dot,1,64,3,50,2,-0.43133682012557983,0.9724637681159422,0.8894148114505778,0.8660765593054492,0.9872720835546114,0.6374271690299002,0.9011724039048992
0.001,0.0005,8192,dot,1,128,3,50,2,-0.44964879751205444,0.9701012292118584,0.882030624482089,0.8474961855869982,0.9813241281642768,0.6249756586208732,0.8875541199622516
0.001,0.0005,8192,dot,1,64,4,50,2,-0.424376517534256,0.9756605139341294,0.8983325439073993,0.8674805486011009,0.9829350327491592,0.640514605807159,0.9016742130108912
0.001,0.0005,8192,dot,1,128,4,50,2,-0.4123954176902771,0.9760342628029889,0.9008042911363608,0.8804143590521711,0.9873163391750752,0.659325119800614,0.9023672588037808
0.0001,0.001,8192,dot,1,64,2,50,2,-0.5608202815055847,0.9434942537621108,0.8320146740318085,0.7835141587332239,0.9509982803530335,0.575533928821893,0.8327675511273404
0.0001,0.001,8192,dot,1,128,2,50,2,-0.9918967485427856,0.9583611996785649,0.8057559667536431,0.8059936861981472,0.9779607010090281,0.6056437317937409,0.807083179987548
0.0001,0.001,8192,dot,1,64,3,50,2,-0.5396150276984698,0.9521177759885489,0.8623249529952964,0.8052429086815703,0.9652337211905277,0.5990357330708702,0.8650272811982026
0.0001,0.001,8192,dot,1,128,3,50,2,-0.5676143886866393,0.9531487175364911,0.858291026193616,0.8056055011843646,0.967846103268302,0.6000759278685134,0.8623949434813948
0.0001,0.001,8192,dot,1,64,4,50,2,-0.644379135635164,0.925006660816732,0.8415949468712414,0.8165489773694765,0.9067941860759173,0.6108661723297166,0.8398122248304932
0.0001,0.001,8192,dot,1,128,4,50,2,-0.9641759152765627,0.8048208848931523,0.7110482606169916,0.7107346018392221,0.7752495628424997,0.549515925551724,0.7055978951029558
0.0005,0.001,8192,dot,1,64,2,50,2,-0.5440521240234375,0.9453744093057069,0.847272846026321,0.7862993028686072,0.9471018890827706,0.5865126744824912,0.859380114967814
0.0005,0.001,8192,dot,1,128,2,50,2,-0.47804615563816494,0.9541207488142094,0.8649623077211797,0.8084463959065658,0.9658969349821713,0.5998219037232752,0.8688448938132951
0.0005,0.001,8192,dot,1,64,3,50,2,-0.4785633269283507,0.9585295893719806,0.8752875390669235,0.8383211620797919,0.9753584705257567,0.6230906933812443,0.8779541743710477
0.0005,0.001,8192,dot,1,128,3,50,2,-0.5703345537185669,0.9437817719680465,0.8425991665980089,0.8095132724713181,0.966693220038945,0.6249015005113528,0.8482350526740957
0.0005,0.001,8192,dot,1,64,4,50,2,-0.4602164924144745,0.9666122300852837,0.8884720604524966,0.864407101130415,0.9815896618870598,0.647240764610807,0.8939496523390313
0.0005,0.001,8192,dot,1,128,4,50,2,-0.45863181352615356,0.969139144558744,0.8890126375572934,0.8521077995586758,0.9823647674683257,0.6304743711665215,0.8918330007307571
0.001,0.001,8192,dot,1,64,2,50,2,-0.46318718791007996,0.9546016234941316,0.8721192579438259,0.8074652776856707,0.9651000177022482,0.5981544647663152,0.8762263619173714
0.001,0.001,8192,dot,1,128,2,50,2,-0.5053889751434326,0.952159650082012,0.8526001646463689,0.809454897200516,0.9618301595731229,0.6024213073757786,0.8675629600681058
0.001,0.001,8192,dot,1,64,3,50,2,-0.4261012673377991,0.9684488088743406,0.8918471431142759,0.8602034494095036,0.9831386086032926,0.6285975908104815,0.8937225241571598
0.001,0.001,8192,dot,1,128,3,50,2,-0.41803786158561707,0.9737412019491065,0.8920323482722803,0.8662502423522073,0.9883165161975571,0.6281535369591579,0.9001166467112987
0.001,0.001,8192,dot,1,64,4,50,2,-0.46478500962257385,0.9712393395028126,0.8848403175292225,0.8505521415505484,0.9798548415648787,0.6308806504026285,0.8925254595770775
0.001,0.001,8192,dot,1,128,4,50,2,-0.6267954111099243,0.9447055645596976,0.853125829908824,0.7347063304312375,0.8803682067622588,0.5817046570662674,0.8460481314773205
0.0001,0.0001,8192,dot,2,64,2,50,2,-0.4422774016857147,0.9699079089924161,0.8804050775282739,0.8667933220376131,0.9798990971853426,0.6402839012792814,0.8835151233933312
0.0001,0.0001,8192,dot,2,128,2,50,2,-0.45450150966644287,0.9713949275362319,0.8758785474762055,0.8693875635192683,0.9821384315808107,0.633782636520197,0.8770511786535912
0.0001,0.0001,8192,dot,2,64,3,50,2,-0.44802224967214793,0.9696860267836187,0.8841085918707489,0.8733878904086021,0.9837375346669027,0.6422888618467004,0.8856129375652744
0.0001,0.0001,8192,dot,2,128,3,50,2,-0.44275966507417186,0.9715914457262361,0.8842148377801914,0.8798813797087828,0.9886853130347554,0.6529620972625957,0.8872726872344617
0.0001,0.0001,8192,dot,2,64,4,50,2,-0.47816506469691245,0.9675603967338903,0.8779557702263033,0.8555604025997017,0.9813005251666961,0.6341197030552527,0.8815841670058178
0.0001,0.0001,8192,dot,2,128,4,50,2,-0.4510043263435364,0.9778837420526793,0.8861987895031818,0.8794843587992818,0.9907063197026023,0.6464933241200753,0.8904507775256744
0.0005,0.0001,8192,dot,2,64,2,50,2,-0.3912361264228821,0.976464148877942,0.9015397167317397,0.8982082795943656,0.9925650557620818,0.6613273283366936,0.909055901939228
0.0005,0.0001,8192,dot,2,128,2,50,2,-0.38139471411705017,0.9803600654664485,0.9050777424996376,0.8997490074096552,0.9917684545937334,0.6638899097235609,0.9109976492243246
0.0005,0.0001,8192,dot,2,64,3,50,2,-0.3829084916247262,0.9818721143571444,0.9065891774538395,0.8999905166527578,0.991193131527704,0.6706757363933076,0.9100588238714588
0.0005,0.0001,8192,dot,2,128,3,50,2,-0.39109987020492554,0.9782962561041779,0.9033341378431206,0.8968844043193487,0.9925650557620818,0.6719750483604412,0.9097402413580109
0.0005,0.0001,8192,dot,2,64,4,50,2,-0.42428892850875854,0.9806127982646421,0.8961013428677855,0.9005312973448927,0.9912993450168172,0.6669224267159733,0.9019626771092211
