1_Lr,1_Wd,1_batchSize,1_decoder,1_featType,1_hiddenDim,1_numLayers,1_numOfHeads,2_valLossNeg,2_valMRRRandom,2_valRocAucRandom,3_testMRR2hop,3_testMRRRandom,3_testRocAuc2hop,3_testRocAucRandom
0.0001,0.0001,8192,dot,1,64,2,2,-0.45363298058509827,0.9543374290380279,0.8672842442778372,0.823640509487562,0.9713577624358293,0.5932635483401958,0.8713361892446247
0.0001,0.0001,8192,dot,1,128,2,2,-0.44221076369285583,0.9628906955736224,0.8705393121650051,0.8319987294230523,0.9795007966011684,0.5946211499998667,0.8906685073694696
0.0001,0.0001,8192,dot,1,64,3,2,-0.4569428563117981,0.9511062749365252,0.8761103777932906,0.7559137829185626,0.9614223756417065,0.5902645448459964,0.8805070639465541
0.0001,0.0001,8192,dot,1,128,3,2,-0.4199973940849304,0.9694065173857638,0.8839533951541363,0.8489458408470623,0.981408213843158,0.6157081535242419,0.9089823581095728
0.0001,0.0001,8192,dot,1,64,4,2,-0.41161900758743286,0.966430646332607,0.8914222284102367,0.8475474015569608,0.9781642768631615,0.6134816119954661,0.9030874911561322
0.0001,0.0001,8192,dot,1,128,4,2,-0.47285690903663635,0.9642779587404994,0.8853728861188348,0.8222588911648923,0.97427863338644,0.6158516375042503,0.8913603950937607
0.0005,0.0001,8192,dot,1,64,2,2,-0.42269667983055115,0.9708698830409357,0.9023726840219392,0.8375662456384707,0.9781510001770225,0.6190978361354456,0.9050085845395355
0.0005,0.0001,8192,dot,1,128,2,2,-0.41870811581611633,0.9681547619047619,0.8884095512850743,0.8718654567831413,0.9879624712338466,0.619928903564906,0.8981098044622319
0.0005,0.0001,8192,dot,1,64,3,2,-0.3977139890193939,0.9725105877491995,0.8956043268321978,0.8723947867203311,0.9880952380952381,0.6269780699987817,0.9049176855054486
0.0005,0.0001,8192,dot,1,128,3,2,-0.3946223855018616,0.9704541326067212,0.899422556920101,0.8618566805237012,0.9824355764610678,0.6300394653378257,0.90836154558672
0.0005,0.0001,8192,dot,1,64,4,2,-0.3771272599697113,0.9762739726027397,0.9088720563815811,0.8694199852192417,0.9886452722352882,0.6300989454673381,0.9119932026753634
0.0005,0.0001,8192,dot,1,128,4,2,-0.4004823565483093,0.973394768903751,0.8981612591061265,0.8827177263050869,0.9904850416002832,0.6305974717006085,0.9053214241836125
0.001,0.0001,8192,dot,1,64,2,2,-0.40067121386528015,0.9717379385964913,0.9069786790413717,0.8740581658266204,0.9885776243582935,0.6279404652844568,0.9084627089927917
0.001,0.0001,8192,dot,1,128,2,2,-0.4157717227935791,0.9695554355651548,0.9020456338389362,0.8509599122185422,0.9808158207520926,0.6296513972698969,0.905379484420322
0.001,0.0001,8192,dot,1,64,3,2,-0.4392126202583313,0.9706513201619238,0.8720745309677963,0.862467019025702,0.9817068339107639,0.6103897601715892,0.8975766757146878
0.001,0.0001,8192,dot,1,128,3,2,-0.40770697593688965,0.968975468975469,0.9000641041197238,0.8453038140239415,0.9823072351617227,0.6267900097286105,0.9001175817977441
0.001,0.0001,8192,dot,1,64,4,2,-0.41483163833618164,0.9762459371614303,0.8881115706807109,0.8844823126952706,0.9883165161975571,0.6343175563179333,0.9001802426597663
0.001,0.0001,8192,dot,1,128,4,2,-0.4091989994049072,0.9811877602752128,0.8991269670347682,0.8871637302333001,0.990237210125686,0.6692498928441284,0.9240747425356717
0.0001,0.0005,8192,dot,1,64,2,2,-0.46095774902237785,0.959288765681584,0.8728604272643026,0.8259143383612315,0.9742607203972047,0.6012536829134925,0.8808032446659526
0.0001,0.0005,8192,dot,1,128,2,2,-0.47079530358314514,0.9554359673024523,0.8705977186631481,0.7685996027339628,0.961030608030077,0.5947702315511982,0.8753833225042171
0.0001,0.0005,8192,dot,1,64,3,2,-0.43055661684936947,0.9647033594455301,0.8737934803268387,0.838102703191657,0.9760982769811766,0.6007009518768578,0.8785772872065567
0.0001,0.0005,8192,dot,1,128,3,2,-0.4328116774559021,0.9611823636972365,0.8850954543436597,0.8196872756086776,0.9764206054168879,0.6135532367400159,0.8895142064504398
0.0001,0.0005,8192,dot,1,64,4,2,-0.47957947850227356,0.9527612344342177,0.8566710316657711,0.7726907378925436,0.961591811445768,0.5988927471642576,0.870576811296468
0.0001,0.0005,8192,dot,1,128,4,2,-0.48778027296066284,0.9589492753623189,0.8774199668510829,0.8013665407584686,0.9694554029790354,0.5964287138186031,0.8787459264505484
0.0005,0.0005,8192,dot,1,64,2,2,-0.44000232219696045,0.9609026644915715,0.8772997870706979,0.830911918670814,0.9700313582682143,0.6114647441811074,0.8855213340993984
0.0005,0.0005,8192,dot,1,128,2,2,-0.4103792905807495,0.9674283641639463,0.8979301105364851,0.8664076334947285,0.9863250132766861,0.6076277449861822,0.8979207745793463
0.0005,0.0005,8192,dot,1,64,3,2,-0.3874213695526123,0.9769182048498011,0.9032114935979357,0.8609789440511691,0.9835369091874668,0.6296348620643483,0.9056494812806468
0.0005,0.0005,8192,dot,1,128,3,2,-0.40644335746765137,0.9723796548592187,0.8894186667577682,0.8804250420023123,0.9895114179500797,0.6237982035228539,0.9114612981717659
0.0005,0.0005,8192,dot,1,64,4,2,-0.40910691022872925,0.9752176278563656,0.8927778740963894,0.8773183490257309,0.98636926889715,0.620274325936534,0.8998355712344841
0.0005,0.0005,8192,dot,1,128,4,2,-0.4389488995075226,0.9735650914358138,0.8766090819614927,0.8684623911522478,0.984790818433941,0.6245947835256033,0.8933126023996982
