1_Lr,1_Wd,1_batchSize,1_decoder,1_featType,1_hiddenDim,1_numLayers,1_numOfEpoch,1_numOfHeads,2_valLossNeg,2_valMRRRandom,2_valRocAucRandom,3_testMRR2hop,3_testMRRRandom,3_testRocAuc2hop,3_testRocAucRandom
0.0001,0.0001,8192,dot,1,64,2,50,2,-0.5659002661705017,0.948928247048138,0.8341343484482808,0.7823782548955146,0.9633917507523455,0.5851689192951892,0.8385127790740682
0.0001,0.0001,8192,dot,1,128,2,50,2,-0.5202080011367798,0.9525200145560407,0.8632768985654996,0.7534687976801625,0.9619281541612927,0.5897030470142849,0.8596865356030899
0.0001,0.0001,8192,dot,1,64,3,50,2,-0.5249157547950745,0.9517488354037266,0.8508162284532066,0.7791092397305887,0.9571455967765049,0.6006326092857324,0.8641836123200188
0.0001,0.0001,8192,dot,1,128,3,50,2,-0.5232243537902832,0.943680669212584,0.840305499449475,0.7809454323925912,0.9602198872113902,0.5798688406895207,0.8461399022996938
0.0001,0.0001,8192,dot,1,64,4,50,2,-0.5504881143569946,0.9454321663019694,0.8473665008657655,0.8083559017839421,0.9600839592342514,0.6009976080517492,0.8598124270105687
0.0001,0.0001,8192,dot,1,128,4,50,2,-0.5145012140274048,0.9539461720312784,0.8667695304794456,0.7606154673201938,0.9532439369799965,0.5916471852434935,0.8690022738971834
0.0005,0.0001,8192,dot,1,64,2,50,2,-0.51850825548172,0.9492239667929977,0.8638544252738091,0.7838148633687667,0.9756771109930961,0.6070380852279161,0.8735084468473372
0.0005,0.0001,8192,dot,1,128,2,50,2,-0.5415838956832886,0.96126568466994,0.8628544650107384,0.8242092671593468,0.9741458665250486,0.6248929106634034,0.8756619912123798
0.0005,0.0001,8192,dot,1,64,3,50,2,-0.5377826690673828,0.9549755301794454,0.8651310682939526,0.8097236111973234,0.9644673922289428,0.6070665219260264,0.863201852113351
0.0005,0.0001,8192,dot,1,128,3,50,2,-0.5145502090454102,0.9575864566358864,0.8749840812274556,0.7678978158797597,0.9569746857850948,0.5934468583712229,0.8783760580420413
0.0005,0.0001,8192,dot,1,64,4,50,2,-0.5218520760536194,0.9523809523809523,0.8582845263923455,0.7987968793465341,0.9728447512834131,0.6208351274884919,0.8743141906972541
0.0005,0.0001,8192,dot,1,128,4,50,2,-0.5341147184371948,0.9544147096304387,0.8599428254730848,0.7894376585826399,0.9623355166106096,0.5998530593650506,0.8693345892340321
0.001,0.0001,8192,dot,1,64,2,50,2,-0.5200278162956238,0.9437012869313033,0.8683898725406456,0.790579894230983,0.9554071938564769,0.6062326305354999,0.8747390119782819
0.001,0.0001,8192,dot,1,128,2,50,2,-0.5420836210250854,0.9522826086956521,0.8388751760439379,0.767744837035862,0.9659453000531067,0.6199515571129984,0.8601302916653453
0.001,0.0001,8192,dot,1,64,3,50,2,-0.5234261155128479,0.964536885988762,0.8903273414758284,0.8358870933751443,0.9741502920870949,0.6234804424468838,0.8920845864582639
0.001,0.0001,8192,dot,1,128,3,50,2,-0.5263230800628662,0.9415077202543142,0.8595957361459059,0.7420004804895937,0.9524163568773235,0.592682635236683,0.8697321865521397
0.001,0.0001,8192,dot,1,64,4,50,2,-0.5222049951553345,0.9302036130747386,0.859299871024928,0.7768052269911004,0.9705611612674809,0.6100549114697701,0.8757835351871835
0.001,0.0001,8192,dot,1,128,4,50,2,-0.5701966881752014,0.9517500906782735,0.8369908182785599,0.7537438147501876,0.9575057532306605,0.5920304584758478,0.873290351600531
0.0001,0.0005,8192,dot,1,64,2,50,2,-0.5338186025619507,0.9396479767737252,0.8441244041151268,0.715385820882369,0.9310813544748754,0.5738553357222308,0.850492347038178
0.0001,0.0005,8192,dot,1,128,2,50,2,-0.5603345036506653,0.9470721949445354,0.8397757446442327,0.7776010235118042,0.9611536808031762,0.5797849576809654,0.8526966018604669
0.0001,0.0005,8192,dot,1,64,3,50,2,-0.5465713010893928,0.9386994263285025,0.8464675475658787,0.8015687659540554,0.9560876767063703,0.5983898598316639,0.8630859150607351
0.0001,0.0005,8192,dot,1,128,3,50,2,-0.5230276584625244,0.9539821396026974,0.8511028680142687,0.7704517866626204,0.9566389752927192,0.59574563460863,0.8614364909037999
0.0001,0.0005,8192,dot,1,64,4,50,2,-0.5175742506980896,0.9395697167755992,0.8697987427752112,0.7449826770857042,0.934435298282882,0.5923514707754598,0.8725212156656651
0.0001,0.0005,8192,dot,1,128,4,50,2,-0.5201511979103088,0.9453435392746492,0.8629908036377624,0.7243117388895403,0.949811808242504,0.5882642295003206,0.8659139034720735
0.0005,0.0005,8192,dot,1,64,2,50,2,-0.5578312873840332,0.9532824149845427,0.8532945077607363,0.7711554377645721,0.967998760842627,0.5903711518937763,0.8376412051383754
0.0005,0.0005,8192,dot,1,128,2,50,2,-0.5233540534973145,0.9513987284287012,0.8501029667188389,0.7857637774392953,0.9634360063728094,0.5824456598464693,0.8525450732598367
0.0005,0.0005,8192,dot,1,64,3,50,2,-0.5237087607383728,0.9490584827086729,0.8581223118235,0.7801070986015224,0.9605416887944768,0.5954475736461784,0.8702932355423573
0.0005,0.0005,8192,dot,1,128,3,50,2,-0.5164287686347961,0.9417983651226158,0.8563100260738196,0.7945861007464831,0.9720038944946008,0.6062050138362727,0.8802075715825434
0.0005,0.0005,8192,dot,1,64,4,50,2,-0.5207259058952332,0.9537529390486525,0.8624763723012493,0.7721883120714772,0.9558727208355461,0.6008186468919918,0.873014163029341
0.0005,0.0005,8192,dot,1,128,4,50,2,-0.5339086651802063,0.9537418655097614,0.8480589664541359,0.7688539480228275,0.9685608072225174,0.5927076063605662,0.876229979982619
0.001,0.0005,8192,dot,1,64,2,50,2,-0.5480218529701233,0.9281378600823046,0.839539599241057,0.755288546645424,0.9330108995270969,0.5847664609661586,0.8533879529889979
0.001,0.0005,8192,dot,1,128,2,50,2,-0.5265728235244751,0.943779470438883,0.8566850844093157,0.7648804446866051,0.9720924057355285,0.6048314883737294,0.8765972992016156
0.001,0.0005,8192,dot,1,64,3,50,2,-0.5310055017471313,0.9615174672489083,0.8540107438601732,0.7677328056377446,0.9601927016159623,0.6036880042469843,0.8671810002725591
0.001,0.0005,8192,dot,1,128,3,50,2,-0.5399194955825806,0.9387196227783824,0.8459299941638938,0.7579560744324418,0.9346167463267835,0.5791967811136614,0.8549768964739239
0.001,0.0005,8192,dot,1,64,4,50,2,-0.516191303730011,0.9573329712112981,0.8672795568667832,0.7718271019120726,0.9723579394583111,0.6112356336159711,0.8773713206035115
0.001,0.0005,8192,dot,1,128,4,50,2,-0.5193291902542114,0.949708242159008,0.8692853781365831,0.7510709860152239,0.9446716232961586,0.5978915371595197,0.8736862341139566
0.0001,0.001,8192,dot,1,64,2,50,2,-0.531495988368988,0.9413778803233201,0.8499001424130879,0.7124849703314918,0.9370436402565985,0.5756746672442374,0.8587466269885415
0.0001,0.001,8192,dot,1,128,2,50,2,-0.5209861397743225,0.9435527747551686,0.8542948806979074,0.7154799838150874,0.9486862402953746,0.5833605354775696,0.864159807896301
0.0001,0.001,8192,dot,1,64,3,50,2,-0.5202564597129822,0.9479800724637681,0.8638325389182249,0.7619178337447057,0.9539121968489999,0.600669584042389,0.8766976771350725
0.0001,0.001,8192,dot,1,128,3,50,2,-0.5219488739967346,0.960726612170754,0.8711322488313407,0.8291756231612843,0.9753540449637104,0.5945442902098156,0.8724748713428226
0.0001,0.001,8192,dot,1,64,4,50,2,-0.5423856973648071,0.9486710358638267,0.8484703361524771,0.8389316884802812,0.9501251801835977,0.6343947210900251,0.8484773752914121
0.0001,0.001,8192,dot,1,128,4,50,2,-0.5305256247520447,0.952172732210755,0.861115848426062,0.7837411231596044,0.9612371342589081,0.6026350034005066,0.8807650758758345
0.0005,0.001,8192,dot,1,64,2,50,2,-0.5229325294494629,0.949972885032538,0.855764225595814,0.7740799237347299,0.9664276863161622,0.6093196760150462,0.8752814599412032
0.0005,0.001,8192,dot,1,128,2,50,2,-0.5381796360015869,0.9208151382823873,0.8432978754742912,0.754433991688373,0.9260756223183202,0.5922083709001915,0.8526746632938569
0.0005,0.001,8192,dot,1,64,3,50,2,-0.5177735090255737,0.9461607631558371,0.8691051502087069,0.756184847488618,0.9627013630731102,0.5966012502151814,0.8753994894295656
0.0005,0.001,8192,dot,1,128,3,50,2,-0.5251963138580322,0.9461757326504746,0.8601341626289651,0.7772846437211811,0.9624446804744202,0.6098300131094229,0.8744778782988674
0.0005,0.001,8192,dot,1,64,4,50,2,-0.5258045196533203,0.932413981430912,0.8620107522278886,0.7350675214323648,0.9290188318202126,0.5976250159435835,0.8731720142529387
0.0005,0.001,8192,dot,1,128,4,50,2,-0.5197123289108276,0.9374546114742194,0.8661341001568207,0.7367389278568249,0.9525756771109931,0.5924444341927001,0.8621171791696611
0.001,0.001,8192,dot,1,64,2,50,2,-0.5244846343994141,0.9484963768115943,0.848102685817391,0.7784057861062642,0.9556305793692942,0.5785830738092015,0.8526011338501468
0.001,0.001,8192,dot,1,128,2,50,2,-0.5285794138908386,0.9358925318761384,0.8442307013570811,0.7685928457569456,0.963081961409099,0.5810005858848862,0.862597120200175
0.001,0.001,8192,dot,1,64,3,50,2,-0.5160350203514099,0.9415171288743882,0.8537408823085478,0.7855104666974025,0.9552508239975049,0.593055382272848,0.8591557862909014
0.001,0.001,8192,dot,1,128,3,50,2,-0.5287997126579285,0.9574643249176729,0.8554225895514351,0.7784039085950928,0.970481501150646,0.6037878786723552,0.863103016353232
0.001,0.001,8192,dot,1,64,4,50,2,-0.5214613676071167,0.9512332245194052,0.8694067859049844,0.7472355180666387,0.9637154490048807,0.6001599101400915,0.8745080341174433
0.001,0.001,8192,dot,1,128,4,50,2,-0.5470647215843201,0.9380371975442398,0.8557124060429517,0.7856849927083596,0.9501327668613914,0.5995290648589741,0.8598056066338935
0.0001,0.0001,8192,dot,2,64,2,50,2,-0.6167200803756714,0.9373481964835961,0.8003820504473207,0.8254914481281981,0.9489909718534253,0.5801534421615328,0.8078484115768547
0.0001,0.0001,8192,dot,2,128,2,50,2,-0.5078773697217306,0.9585296983178568,0.8702951623776091,0.8091820066992663,0.9642111119540752,0.610467898872179,0.8708582636850498
0.0001,0.0001,8192,dot,2,64,3,50,2,-0.5573302441173129,0.9425954933630372,0.8332196308311912,0.8223162127304453,0.9489803390095477,0.6001869787348021,0.8363633347034412
0.0001,0.0001,8192,dot,2,128,3,50,2,-0.5037536025047302,0.9651120751988431,0.8774188104219969,0.850671177822001,0.9741332220620591,0.6280929821995305,0.8809116528340863
0.0001,0.0001,8192,dot,2,64,4,50,2,-0.5216369509696961,0.9537114269576141,0.8682188934059096,0.8221253629830368,0.963653452819677,0.6196160072402046,0.8729952371673996
